WKT,no,id,foreign,name,lat,long
"POINT (106.5071982 -5.7985266)",154.0,3101.0,31.0,KABUPATEN KEPULAUAN SERIBU,-5.7985266,106.5071982
"POINT (106.807915 -6.332973)",155.0,3171.0,31.0,KOTA JAKARTA SELATAN,-6.332973,106.807915
"POINT (106.84517199999999 -6.211544)",156.0,3172.0,31.0,KOTA JAKARTA TIMUR,-6.211544,106.84517199999999
"POINT (106.84517199999999 -6.211544)",157.0,3173.0,31.0,KOTA JAKARTA PUSAT,-6.211544,106.84517199999999
"POINT (106.84517199999999 -6.211544)",158.0,3174.0,31.0,KOTA JAKARTA BARAT,-6.211544,106.84517199999999
"POINT (106.84517199999999 -6.211544)",159.0,3175.0,31.0,KOTA JAKARTA UTARA,-6.211544,106.84517199999999
