WKT,no,id,foreign,name,lat,long
"POINT (106.103897 -6.3148349999999995)",265.0,3601.0,36.0,KABUPATEN PANDEGLANG,-6.3148349999999995,106.103897
"POINT (106.25221429999999 -6.564395599999999)",266.0,3602.0,36.0,KABUPATEN LEBAK,-6.564395599999999,106.25221429999999
"POINT (106.71805559999999 -6.2888889)",267.0,3603.0,36.0,KABUPATEN TANGERANG,-6.2888889,106.71805559999999
"POINT (106.150299 -6.12009)",268.0,3604.0,36.0,KABUPATEN SERANG,-6.12009,106.150299
"POINT (106.71805559999999 -6.2888889)",269.0,3671.0,36.0,KOTA TANGERANG,-6.2888889,106.71805559999999
"POINT (106.04050600000001 -6.0169825)",270.0,3672.0,36.0,KOTA CILEGON,-6.0169825,106.04050600000001
"POINT (106.150299 -6.12009)",271.0,3673.0,36.0,KOTA SERANG,-6.12009,106.150299
"POINT (106.71805559999999 -6.2888889)",272.0,3674.0,36.0,KOTA TANGERANG SELATAN,-6.2888889,106.71805559999999
